,A,2019-12-03,,,,,,642252,Paenibacillus swuensis,P,978781,txid1178515,OR,
,A,2019-12-03,,,,,,644551,Novibacillus thermophilus,P,981582,txid1471761,OR,
,A,2019-12-03,,,,,,644552,Notoacmeibacter marinus,P,981583,txid1876515,OR,
,A,2019-12-03,,,,,,644553,Nostocoida aromativora,P,981584,txid288017,OR,
,A,2019-12-03,,,,,,644554,Nostochopsis lobatus,P,981585,txid221289,OR,
,A,2019-12-03,,,,,,644555,Nostoc verrucosum,P,981586,txid633391,OR,
,A,2019-12-03,,,,,,644556,Nostoc spongiaeforme,P,981587,txid502487,OR,
,A,2019-12-03,,,,,,644557,Nostoc sphaeroides,P,981590,txid446679,OR,
,A,2019-12-03,,,,,,644558,Nostoc sphaericum,P,981591,txid217115,OR,
,A,2019-12-03,,,,,,644559,Nostoc rivulare,P,981592,txid505740,OR,
,A,2019-12-03,,,,,,644560,Nostoc pruniforme,P,981593,txid1521620,OR,
,A,2019-12-03,,,,,,644561,Nostoc piscinale subsp. persica,P,981594,txid402748,OR,
,A,2019-12-03,,,,,,644562,Nostoc piscinale,P,981596,txid224012,OR,
,A,2019-12-03,,,,,,644563,Nostoc parmelioides,P,981597,txid1521621,OR,
,A,2019-12-03,,,,,,644564,Nostoc paludosum,P,981598,txid212362,OR,
,A,2019-12-03,,,,,,644565,Nostoc minutum,P,981599,txid1841509,OR,
,A,2019-12-03,,,,,,644566,Nostoc microscopicum,P,981600,txid765174,OR,
,A,2019-12-03,,,,,,644567,Nostoc longstaffi,P,981601,txid2094034,OR,
,A,2019-12-03,,,,,,644568,Nostoc linckia,P,981602,txid92942,OR,
,A,2019-12-03,,,,,,644569,Nostoc lichenoides,P,981603,txid287857,OR,
,A,2019-12-03,,,,,,644570,Nostoc insulare,P,981604,txid436398,OR,
,A,2019-12-03,,,,,,644571,Nostoc indistinguendum,P,981605,txid287859,OR,
,A,2019-12-03,,,,,,644572,Nostoc humifusum,P,981606,txid1382429,OR,
,A,2019-12-03,,,,,,644573,Nostoc hatei,P,981607,txid1324364,OR,
,A,2019-12-03,,,,,,644574,Nostoc flagelliforme,P,981608,txid1306274,OR,
,A,2019-12-03,,,,,,644575,Nostoc entophytum,P,981609,txid211008,OR,
,A,2019-12-03,,,,,,644576,Nostoc elgonense,P,981610,txid442894,OR,
,A,2019-12-03,,,,,,644577,Nostoc edaphicum,P,981611,txid264686,OR,
,A,2019-12-03,,,,,,644578,Nostoc desertorum,P,981612,txid287858,OR,
,A,2019-12-03,,,,,,644579,Nostoc cycadae,P,981613,txid246795,OR,
,A,2019-12-03,,,,,,644580,Nostoc cavernicola,P,981614,txid1886699,OR,
,A,2019-12-03,,,,,,644581,Nostoc carneum,P,981615,txid374162,OR,
,A,2019-12-03,,,,,,644582,Nostoc calcicola,P,981616,txid212354,OR,
,A,2019-12-03,,,,,,644583,Nostoc caeruleum,P,981617,txid1521619,OR,
,A,2019-12-03,,,,,,644584,Nosocomiicoccus massiliensis,P,981618,txid1232430,OR,
,A,2019-12-03,,,,,,644585,Nosocomiicoccus ampullae,P,981619,txid489910,OR,
,A,2019-12-03,,,,,,644586,Nordella oligomobilis,P,981620,txid169056,OR,
,A,2019-12-03,,,,,,644587,Nonomuraea zeae,P,981621,txid1642303,OR,
,A,2019-12-03,,,,,,644588,Microbacterium liquefaciens,P,981622,txid33918,OR,
,A,2019-12-03,,,,,,644589,Microbacterium lindanitolerans,P,981624,txid550448,OR,
,A,2019-12-03,,,,,,646024,Nocardia ignorata,P,983425,txid145285,OR,
,A,2019-12-03,,,,,,646025,Nocardia higoensis,P,983426,txid228599,OR,
,A,2019-12-03,,,,,,646026,Nocardia heshunensis,P,983427,txid2030913,OR,
,A,2019-12-03,,,,,,646027,Nocardia harenae,P,983428,txid358707,OR,
,A,2019-12-03,,,,,,646028,Nocardia halotolerans,P,983429,txid1755878,OR,
,A,2019-12-03,,,,,,646029,Nocardia grenadensis,P,983430,txid931537,OR,
,A,2019-12-03,,,,,,646030,Nocardia goodfellowii,P,983431,txid882446,OR,
,A,2019-12-03,,,,,,646031,Nocardia globerula,P,983432,txid1818,OR,
